id_row,date,estado,municipio,cod_municipio,casos,obitos,novos_casos
1,2020-03-28,MG,Belo Horizonte,310620.0,129,0,0
2,2020-03-29,MG,Belo Horizonte,310620.0,143,0,14
3,2020-03-30,MG,Belo Horizonte,310620.0,163,1,20
4,2020-03-31,MG,Belo Horizonte,310620.0,163,2,0
5,2020-04-01,MG,Belo Horizonte,310620.0,188,2,25
6,2020-04-02,MG,Belo Horizonte,310620.0,210,3,22
7,2020-04-03,MG,Belo Horizonte,310620.0,225,3,15
8,2020-04-04,MG,Belo Horizonte,310620.0,237,3,12
9,2020-04-05,MG,Belo Horizonte,310620.0,262,3,25
10,2020-04-06,MG,Belo Horizonte,310620.0,264,4,2
11,2020-04-07,MG,Belo Horizonte,310620.0,275,5,11
12,2020-04-08,MG,Belo Horizonte,310620.0,299,6,24
13,2020-04-09,MG,Belo Horizonte,310620.0,310,6,11
14,2020-04-10,MG,Belo Horizonte,310620.0,330,6,20
15,2020-04-11,MG,Belo Horizonte,310620.0,338,6,8
16,2020-04-12,MG,Belo Horizonte,310620.0,355,6,17
17,2020-04-13,MG,Belo Horizonte,310620.0,357,6,2
18,2020-04-14,MG,Belo Horizonte,310620.0,373,6,16
19,2020-04-15,MG,Belo Horizonte,310620.0,380,6,7
20,2020-04-16,MG,Belo Horizonte,310620.0,390,7,10
21,2020-04-17,MG,Belo Horizonte,310620.0,406,8,16
22,2020-04-18,MG,Belo Horizonte,310620.0,420,8,14
23,2020-04-19,MG,Belo Horizonte,310620.0,448,8,28
24,2020-04-20,MG,Belo Horizonte,310620.0,460,8,12
25,2020-04-21,MG,Belo Horizonte,310620.0,467,8,7
26,2020-04-22,MG,Belo Horizonte,310620.0,487,9,20
27,2020-04-23,MG,Belo Horizonte,310620.0,491,9,4
28,2020-04-24,MG,Belo Horizonte,310620.0,519,11,28
29,2020-04-25,MG,Belo Horizonte,310620.0,528,11,9
30,2020-04-26,MG,Belo Horizonte,310620.0,544,11,16
31,2020-04-27,MG,Belo Horizonte,310620.0,559,11,15
32,2020-04-28,MG,Belo Horizonte,310620.0,569,14,10
33,2020-04-29,MG,Belo Horizonte,310620.0,577,16,8
34,2020-04-30,MG,Belo Horizonte,310620.0,593,17,16
35,2020-05-01,MG,Belo Horizonte,310620.0,610,20,17
36,2020-05-02,MG,Belo Horizonte,310620.0,626,20,16
37,2020-05-03,MG,Belo Horizonte,310620.0,646,20,20
38,2020-05-04,MG,Belo Horizonte,310620.0,845,20,199
39,2020-05-05,MG,Belo Horizonte,310620.0,851,22,6
40,2020-05-06,MG,Belo Horizonte,310620.0,857,23,6
41,2020-05-07,MG,Belo Horizonte,310620.0,915,25,58
42,2020-05-08,MG,Belo Horizonte,310620.0,926,25,11
43,2020-05-09,MG,Belo Horizonte,310620.0,960,26,34
44,2020-05-10,MG,Belo Horizonte,310620.0,973,26,13
